iter	Passed	Remaining
0	5	1638
1	12	1772
2	17	1684
3	23	1660
4	30	1698
5	36	1688
6	41	1672
7	48	1682
8	53	1664
9	59	1656
10	66	1665
11	73	1678
12	80	1694
13	86	1694
14	92	1685
15	98	1676
16	104	1656
17	110	1656
18	116	1637
19	121	1622
20	128	1622
21	133	1612
22	139	1601
23	146	1600
24	152	1596
25	158	1587
26	163	1571
27	169	1571
28	175	1561
29	181	1553
30	186	1540
31	192	1535
32	197	1519
33	202	1509
34	208	1500
35	213	1488
36	218	1474
37	224	1469
38	230	1465
39	236	1457
40	242	1453
41	247	1445
42	253	1436
43	260	1436
44	265	1428
45	270	1418
46	277	1414
47	282	1407
48	288	1401
49	294	1395
50	299	1387
51	305	1381
52	310	1372
53	316	1365
54	321	1355
55	326	1345
56	331	1339
57	337	1332
58	342	1324
59	348	1317
60	354	1311
61	360	1307
62	365	1300
63	371	1295
64	377	1290
65	383	1284
66	389	1279
67	395	1272
68	400	1266
69	406	1260
70	412	1253
71	417	1246
72	423	1240
73	428	1234
74	434	1227
75	440	1222
76	445	1215
77	451	1208
78	457	1203
79	461	1194
80	466	1186
81	473	1184
82	479	1178
83	485	1172
84	491	1166
85	496	1160
86	502	1156
87	509	1152
88	514	1144
89	521	1142
90	529	1140
91	538	1140
92	545	1138
93	554	1138
94	563	1138
95	578	1150
96	588	1153
97	595	1149
98	603	1145
99	610	1140
100	615	1133
101	621	1127
102	628	1122
103	635	1118
104	642	1113
105	648	1107
106	656	1104
107	662	1098
108	669	1092
109	675	1086
110	680	1079
111	688	1076
112	693	1068
113	700	1062
114	706	1056
115	711	1048
116	717	1043
117	723	1036
118	730	1031
119	736	1025
120	742	1018
121	749	1013
122	755	1007
123	761	1001
124	767	994
125	773	988
126	778	980
127	784	974
128	788	966
129	794	959
130	801	954
131	806	947
132	813	941
133	819	935
134	824	928
135	830	922
136	836	915
137	841	908
138	847	902
139	853	895
140	858	888
141	864	882
142	870	876
143	876	870
144	882	864
145	888	857
146	893	850
147	899	845
148	904	838
149	909	830
150	915	824
151	920	817
152	925	810
153	931	804
154	937	798
155	942	791
156	948	785
157	953	778
158	959	772
159	965	766
160	971	760
161	978	754
162	983	748
163	989	741
164	995	736
165	1001	729
166	1006	723
167	1012	717
168	1017	710
169	1023	704
170	1029	698
171	1034	691
172	1039	684
173	1046	679
174	1052	673
175	1060	668
176	1066	662
177	1073	657
178	1080	651
179	1086	645
180	1094	640
181	1100	634
182	1105	628
183	1114	623
184	1124	619
185	1131	614
186	1138	608
187	1146	603
188	1152	597
189	1158	591
190	1163	584
191	1168	578
192	1175	572
193	1180	565
194	1185	559
195	1191	553
196	1197	546
197	1202	540
198	1208	534
199	1213	528
200	1218	521
201	1225	515
202	1230	509
203	1237	503
204	1243	497
205	1249	491
206	1255	485
207	1262	479
208	1268	473
209	1275	467
210	1280	461
211	1286	455
212	1291	448
213	1297	442
214	1301	435
215	1307	429
216	1311	423
217	1315	416
218	1321	410
219	1327	404
220	1331	397
221	1338	391
222	1344	385
223	1352	380
224	1357	374
225	1362	367
226	1368	361
227	1373	355
228	1378	349
229	1384	342
230	1389	336
231	1394	330
232	1399	324
233	1405	318
234	1410	312
235	1415	305
236	1421	299
237	1426	293
238	1431	287
239	1437	281
240	1441	275
241	1446	268
242	1451	262
243	1457	256
244	1463	250
245	1468	244
246	1474	238
247	1479	232
248	1485	226
249	1489	220
250	1494	214
251	1500	208
252	1505	202
253	1510	196
254	1515	190
255	1520	184
256	1526	178
257	1531	172
258	1536	166
259	1541	160
260	1546	154
261	1553	148
262	1559	142
263	1564	136
264	1569	130
265	1574	124
266	1579	118
267	1584	112
268	1590	106
269	1595	100
270	1601	94
271	1606	88
272	1610	82
273	1615	76
274	1621	70
275	1626	64
276	1630	58
277	1636	52
278	1641	47
279	1647	41
280	1652	35
281	1658	29
282	1664	23
283	1669	17
284	1674	11
285	1680	5
286	1685	0
